
=== open /dev/ttyUSB0 9600 8N1 at 2026-07-27T11:41:57.406272704+02:00
       0.065 CFG   read timeout 500ms
    1001.410 BRK   low for 400ms requested, 400.899ms actual
    1803.339 BRK   low for 200ms requested, 201.288ms actual
    2205.405 BRK   low for 600ms requested, 601.390ms actual
    3007.725 RX    00 00 00
    3102.816 RX    55
    3118.680 RX    76
    3134.813 RX    83
    3165.184 TX    7C
    3182.781 RX    7C
    3215.748 RX    E9
    3215.808 CFG   read timeout 0s
    3276.541 TX    CA
    3286.763 RX    CA
    3296.954 RX    CA
    3296.984 TX    75
    3317.502 RX    75 75
    3317.538 TX    F4
    3327.863 RX    F4 F4 00
    3327.991 TX    D0
    3348.528 RX    D0 D0 C7 00 06 CB
    3348.603 TX    80
    3358.765 RX    80 80 1C
    3379.228 RX    00 00 86 72 72 FF
    3399.635 RX    65 78 25 00
    3409.834 RX    80 01 00 00 00
    3430.535 RX    1D 81 4F 03 6B 00
    3440.705 RX    30 0C B2 00 00 00
    3440.750 TX    7D
    3461.073 RX    7D 7D 21 40 0A
    3471.354 RX    FF 91 00 58
    3491.838 RX    FF FF 01 00 89
    3512.330 RX    64 00 00 29 FF
    3522.616 RX    00 30 80 7C 95 00
    3543.025 RX    26 00 26 00 26 00 26 00 00
    3553.285 RX    00
    3553.356 TX    80
    3573.923 RX    80 80 1C 00 00
    3584.110 RX    86 72 72 FF 65
    3604.620 RX    78 25 00 80 01
    3614.800 RX    00 00 00 1D 81
    3635.188 RX    4F 03 6B 00 30
    3655.598 RX    0C B2 00 00 00
    3655.640 TX    7D
    3665.834 RX    7D 7D
    3686.287 RX    21 40 0A FF 91
    3696.494 RX    00 58 FF FF 01
    3716.929 RX    00 89 64 00 00
    3727.256 RX    29 FF 00 30
    3747.699 RX    80 7C 95 00 26 00 26 00
    3768.084 RX    26 00 26 00 00 00
    3768.128 TX    80
    3778.435 RX    80 80
    3798.811 RX    1C 00 00 86 72 72
    3808.999 RX    FF 65 78 25 00
    3829.431 RX    80 01 00 00
    3839.628 RX    00 1D 81 4F 03 6B
    3860.031 RX    00 30 0C B2 00 00
    3870.401 RX    00
    3870.458 TX    7D
    3890.947 RX    7D 7D 21 40 0A
    3911.505 RX    FF 91 00 58
    3921.694 RX    FF FF 01 00 89
    3942.076 RX    64 00 00 29 FF
    3952.265 RX    00 30 80 7C 95 00
    3972.711 RX    26 00 26 00 26 00 26 00 00
    3982.896 RX    00
    3982.933 TX    80
    4003.288 RX    80 80 1C 00 00
    4023.642 RX    86 72 72 FF 65
    4034.194 RX    78 25 00 80 01
    4054.979 RX    00 00 00 1D 81
    4065.222 RX    4F 03 6B 00 30 0C
    4085.782 RX    B2 00 00 00
    4085.865 TX    7D
    4096.083 RX    7D 7D
    4116.512 RX    21 40 0A FF 91
    4126.702 RX    00 58 FF FF 01
    4147.153 RX    00 89 64 00 00
    4167.515 RX    29 FF 00 30
    4177.697 RX    80 7C 95 00 26 00 26 00
    4198.085 RX    26 00 26 00 00 00
    4198.131 TX    80
    4208.309 RX    80 80 1C
    4228.656 RX    00 00 86 72 72 FF
    4238.847 RX    65 78 25 00 80
    4259.260 RX    01 00 00 00
    4279.777 RX    1D 81 4F 03 6B 00
    4289.956 RX    30 0C B2 00 00 00
    4290.004 TX    7D
    4310.547 RX    7D 7D 21 40
    4320.766 RX    0A FF 91 00 58
    4341.254 RX    FF FF 01 00
    4351.470 RX    89 64 00 00 29
    4371.859 RX    FF 00 30 80 7C 95
    4392.311 RX    00 26 00 26 00 26 00 26
    4402.499 RX    00 00 00
    4402.549 TX    80
    4422.896 RX    80 80 1C 00
    4433.071 RX    00 86 72 72 FF
    4453.419 RX    65 78 25 00 80
    4463.581 RX    01 00 00 00 1D
    4484.012 RX    81 4F 03 6B 00 30
    4494.289 RX    0C B2 00 00 00
    4494.335 TX    7D
    4514.657 RX    7D 7D 21 40 0A
    4534.981 RX    FF 91 00 58 FF
    4545.164 RX    FF 01 00 89 64
    4565.476 RX    00 00 29 FF 00
    4575.647 RX    30 80 7C 95 00
    4595.976 RX    26 00 26 00 26 00 26 00 00
    4606.155 RX    00
    4606.199 TX    80
    4626.513 RX    80 80 1C 00 00 86
    4646.846 RX    72 72 FF 65 78
    4657.023 RX    25 00 80 01 00
    4677.386 RX    00 00 1D 81
    4687.554 RX    4F 03 6B 00 30 0C B2
    4707.875 RX    00 00 00
